日付,予防接種政策強度,1回あたり補助金_円,接種率_パーセント,インフルエンザ患者数,呼吸器系入院件数
2020-12-20,0.947,2999,94.7,6308,1472
2020-12-27,0.948,3003,94.7,7011,1801
2021-01-03,0.943,3002,95.1,7611,2146
2021-01-10,0.947,2997,95.2,8032,2489
2021-01-17,0.946,2999,95.1,8458,2799
2021-01-24,0.954,3005,94.8,8716,3105
2021-01-31,0.954,3002,95.2,8822,3359
2021-02-07,0.949,2993,94.8,8751,3615
2021-02-14,0.948,3003,94.8,8676,3795
2021-02-21,0.951,2995,94.7,8314,3952
2021-02-28,0.946,3007,95.4,7873,4031
2021-03-07,0.807,3005,95.2,7228,4077
2021-03-14,0.684,3001,95.2,6482,4049
2021-03-21,0.608,3001,95.4,5596,3958
2021-03-28,0.502,2999,95.8,4642,3806
2021-04-04,0.423,3003,94.5,3601,3588
2021-04-11,0.341,2938,94.8,2433,3321
2021-04-18,0.256,2775,94.8,1562,2959
2021-04-25,0.227,2626,94.7,879,2587
2021-05-02,0.133,2355,94.7,408,2242
2021-05-09,0.077,2081,94.9,51,1922
2021-05-16,0.05,1830,94.6,52,1606
2021-05-23,0.043,1611,95.1,46,1350
2021-05-30,0.044,1429,95.0,50,1126
2021-06-06,0.05,1278,95.1,42,968
2021-06-13,0.055,1163,95.2,51,815
2021-06-20,0.039,1056,95.2,53,675
2021-06-27,0.052,944,94.9,49,580
2021-07-04,0.056,883,95.6,57,493
2021-07-11,0.049,738,95.1,46,398
2021-07-18,0.053,723,94.4,51,351
2021-07-25,0.046,681,94.7,50,296
2021-08-01,0.049,648,94.5,50,251
2021-08-08,0.042,627,95.0,50,213
2021-08-15,0.038,586,95.0,50,185
2021-08-22,0.055,589,94.9,53,157
2021-08-29,0.045,530,95.6,56,138
2021-09-05,0.048,523,95.2,50,120
2021-09-12,0.098,618,95.2,53,118
2021-09-19,0.152,728,94.7,47,96
2021-09-26,0.195,857,94.7,53,82
2021-10-03,0.253,1071,95.0,47,73
2021-10-10,0.405,1460,95.1,54,73
2021-10-17,0.413,1731,94.4,59,79
2021-10-24,0.481,2075,94.9,348,58
2021-10-31,0.49,2352,95.0,784,88
2021-11-07,0.572,2679,94.9,1421,140
2021-11-14,0.643,2995,94.8,2175,256
2021-11-21,0.609,2997,94.8,2850,420
2021-11-28,0.732,3005,94.9,3797,625
2021-12-05,0.8,3003,95.0,4659,880
2021-12-12,0.861,2999,95.2,5450,1162
2021-12-19,0.948,3003,95.3,6235,1483
2021-12-26,0.952,2994,94.9,6925,1810
2022-01-02,0.953,3000,94.9,7597,2119
2022-01-09,0.951,3001,95.1,8110,2471
2022-01-16,0.949,2998,95.2,8496,2821
2022-01-23,0.948,3002,94.9,8757,3121
2022-01-30,0.951,2996,95.2,8802,3383
2022-02-06,0.949,3003,95.3,8802,3626
2022-02-13,0.95,3003,95.4,8603,3811
2022-02-20,0.95,2985,95.5,8269,3983
2022-02-27,0.867,3006,94.7,7791,4054
2022-03-06,0.81,2985,95.0,7177,4081
2022-03-13,0.674,2997,95.0,6441,4054
2022-03-20,0.507,3005,95.0,5612,3956
2022-03-27,0.455,2998,94.8,4633,3806
2022-04-03,0.367,2993,94.6,3549,3584
2022-04-10,0.222,2758,95.0,2406,3290
2022-04-17,0.201,2593,94.8,1542,2972
2022-04-24,0.107,2256,95.0,898,2606
2022-05-01,0.058,1991,94.8,317,2255
2022-05-08,0.051,1747,94.7,58,1901
2022-05-15,0.056,1551,95.1,53,1592
2022-05-22,0.038,1324,95.0,50,1347
2022-05-29,0.058,1191,95.2,49,1135
2022-06-05,0.052,1077,95.7,54,945
2022-06-12,0.055,969,95.1,48,807
2022-06-19,0.044,907,95.1,55,680
2022-06-26,0.046,814,94.7,52,577
2022-07-03,0.051,743,94.6,51,503
2022-07-10,0.05,702,95.5,51,417
2022-07-17,0.051,663,94.7,49,378
2022-07-24,0.055,601,94.7,54,316
2022-07-31,0.041,591,95.0,47,265
2022-08-07,0.055,531,95.0,44,231
2022-08-14,0.05,515,94.7,52,203
2022-08-21,0.049,528,94.9,53,163
2022-08-28,0.043,513,95.4,52,143
2022-09-04,0.053,507,94.8,52,123
2022-09-11,0.106,581,94.6,49,121
2022-09-18,0.199,764,95.3,53,103
2022-09-25,0.231,951,95.1,50,104
2022-10-02,0.289,1206,94.8,48,82
2022-10-09,0.327,1384,94.5,49,73
2022-10-16,0.399,1690,94.8,58,60
2022-10-23,0.526,2134,95.0,277,51
2022-10-30,0.6,2569,95.3,752,80
2022-11-06,0.661,3000,94.7,1366,151
2022-11-13,0.73,3001,95.0,2247,256
2022-11-20,0.752,2991,95.2,2998,433
2022-11-27,0.827,2997,94.3,3882,639
2022-12-04,0.908,3001,95.3,4798,894
2022-12-11,0.942,2995,94.6,5538,1194
2022-12-18,0.952,3005,95.1,6334,1506
2022-12-25,0.941,2994,95.1,7059,1838
2023-01-01,0.954,2999,95.3,7705,2179
2023-01-08,0.951,2997,95.2,8178,2512
2023-01-15,0.962,3001,94.3,8554,2821
2023-01-22,0.944,2997,94.8,8813,3134
2023-01-29,0.949,2999,95.0,8866,3410
2023-02-05,0.959,2999,94.9,8831,3656
2023-02-12,0.956,2996,95.1,8636,3839
2023-02-19,0.947,3002,95.2,8207,3981
2023-02-26,0.951,3001,95.2,7814,4069
2023-03-05,0.819,3000,94.9,7183,4097
2023-03-12,0.715,2998,94.4,6458,4079
2023-03-19,0.63,3004,94.9,5587,3978
2023-03-26,0.52,2999,95.1,4605,3815
2023-04-02,0.423,2998,94.7,3571,3584
2023-04-09,0.262,2813,95.2,2446,3298
2023-04-16,0.229,2646,95.3,1734,2957
2023-04-23,0.124,2345,95.0,1021,2646
2023-04-30,0.042,2017,94.1,425,2297
2023-05-07,0.055,1743,94.6,47,1953
2023-05-14,0.052,1548,95.6,46,1663
2023-05-21,0.118,1492,94.8,55,1412
2023-05-28,0.049,1284,94.4,55,1189
2023-06-04,0.042,1170,95.4,46,1001
2023-06-11,0.045,1051,95.0,54,854
2023-06-18,0.047,973,95.3,50,719
2023-06-25,0.056,844,95.1,51,613
2023-07-02,0.047,789,95.1,52,508
2023-07-09,0.053,742,95.1,54,423
2023-07-16,0.047,698,95.2,50,362
2023-07-23,0.051,644,95.7,56,301
2023-07-30,0.049,585,95.3,51,252
2023-08-06,0.054,556,94.5,52,219
2023-08-13,0.047,535,95.1,47,194
2023-08-20,0.042,504,95.3,59,171
2023-08-27,0.043,492,95.4,52,129
2023-09-03,0.047,484,94.9,53,115
2023-09-10,0.125,612,95.3,44,96
2023-09-17,0.178,732,95.3,47,73
2023-09-24,0.101,709,95.8,55,65
2023-10-01,0.24,934,94.8,51,46
2023-10-08,0.249,1103,94.8,42,39
2023-10-15,0.299,1317,94.9,54,32
2023-10-22,0.396,1628,94.9,228,29
2023-10-29,0.451,1948,94.7,774,59
2023-11-05,0.503,2264,94.2,1399,121
2023-11-12,0.604,2729,94.9,2160,267
2023-11-19,0.642,2993,95.1,3048,422
2023-11-26,0.77,3006,94.9,3878,642
2023-12-03,0.89,3000,95.6,4743,890
2023-12-10,0.947,2994,95.0,5606,1185
2023-12-17,0.955,3006,95.4,6379,1515
2023-12-24,0.949,3003,95.1,7063,1850
2023-12-31,0.947,2994,95.2,7653,2188
2024-01-07,0.939,3009,95.1,8175,2527
2024-01-14,0.953,3003,95.4,8515,2857
2024-01-21,0.949,3000,95.0,8704,3166
2024-01-28,0.945,3008,95.1,8702,3416
2024-02-04,0.951,3001,95.1,8732,3651
2024-02-11,0.947,3000,94.9,8566,3833
2024-02-18,0.947,2997,95.1,8222,3966
2024-02-25,0.953,3003,95.7,7816,4062
2024-03-03,0.846,3002,94.9,7220,4091
2024-03-10,0.723,3000,95.1,6456,4079
2024-03-17,0.628,2996,95.4,5582,3968
2024-03-24,0.551,3001,95.3,4605,3817
2024-03-31,0.406,3000,95.0,3551,3583
2024-04-07,0.344,2930,94.3,2337,3303
2024-04-14,0.255,2752,95.2,1501,2956
2024-04-21,0.145,2527,94.3,853,2618
2024-04-28,0.055,2162,95.4,311,2254
2024-05-05,0.05,1869,95.1,47,1922
2024-05-12,0.05,1657,95.3,50,1596
2024-05-19,0.05,1483,94.7,50,1353
2024-05-26,0.05,1305,94.5,46,1137
2024-06-02,0.049,1141,95.1,50,954
2024-06-09,0.043,1070,95.0,50,809
2024-06-16,0.047,1000,94.9,55,671
2024-06-23,0.055,903,95.0,55,583
2024-06-30,0.043,822,95.8,49,488
2024-07-07,0.049,737,95.3,49,419
2024-07-14,0.046,688,95.3,53,348
2024-07-21,0.051,634,95.3,48,315
2024-07-28,0.048,571,95.4,52,262
2024-08-04,0.057,579,94.9,50,221
2024-08-11,0.053,552,94.4,46,187
2024-08-18,0.043,506,94.9,46,159
2024-08-25,0.053,491,95.2,56,140
2024-09-01,0.046,474,94.7,49,116
2024-09-08,0.155,629,94.9,57,105
2024-09-15,0.194,772,94.8,48,91
2024-09-22,0.237,933,95.5,51,83
2024-09-29,0.248,1139,95.2,60,74
