日付,予防接種政策強度,1回あたり補助金_円,接種率_パーセント,インフルエンザ患者数,呼吸器系入院件数
2024-07-21,0.231,697,34.7,1083,220
2024-07-28,0.438,1151,35.9,1469,170
2024-08-04,0.451,0,35.9,1644,202
2024-08-11,0.549,1126,37.8,1393,218
2024-08-18,0.404,0,35.7,1616,205
2024-08-25,0.394,1217,34.2,1272,224
2024-09-01,0.489,1025,36.6,1672,186
2024-09-08,0.67,0,40.4,1825,223
2024-09-15,0.822,2368,46.6,1307,257
2024-09-22,0.599,1537,47.8,1306,211
2024-09-29,0.678,0,42.5,1671,198
2024-10-06,0.726,2173,43.0,1641,224
2024-10-13,0.686,1936,44.4,1323,222
2024-10-20,0.795,2080,46.6,1495,201
2024-10-27,0.73,2330,49.9,1778,199
2024-11-03,0.642,1403,45.4,1612,229
2024-11-10,0.713,2374,51.3,1856,202
2024-11-17,0.572,1295,48.6,1913,242
2024-11-24,0.643,1239,46.9,2042,249
2024-12-01,0.732,2026,47.8,2507,248
2024-12-08,0.767,2469,48.1,2562,306
2024-12-15,0.727,0,48.9,3219,282
2024-12-22,0.778,2012,51.5,2302,332
2024-12-29,0.506,1632,47.8,3118,276
2025-01-05,0.481,1422,45.9,2635,349
2025-01-12,0.516,1617,47.3,2669,317
2025-01-19,0.511,1541,51.9,2854,298
2025-01-26,0.517,1669,51.1,2189,329
2025-02-02,0.604,1790,49.3,2754,264
2025-02-09,0.607,1625,50.4,2540,308
2025-02-16,0.602,1357,50.6,2431,302
2025-02-23,0.581,1523,46.0,2252,291
2025-03-02,0.255,732,44.6,2815,254
2025-03-09,0.283,719,43.6,1704,329
2025-03-16,0.277,552,44.5,1584,240
2025-03-23,0.365,1004,48.7,1472,210
2025-03-30,0.288,0,47.6,1341,211
2025-04-06,0.315,473,44.3,1167,202
2025-04-13,0.393,1213,42.3,1507,185
2025-04-20,0.243,257,45.9,1492,205
2025-04-27,0.327,633,44.2,1136,202
2025-05-04,0.282,0,40.6,1122,180
2025-05-11,0.17,854,38.9,1397,191
2025-05-18,0.225,435,38.1,1158,207
2025-05-25,0.287,771,37.8,1404,178
2025-06-01,0.259,0,34.2,1365,210
2025-06-08,0.263,674,33.2,1039,170
2025-06-15,0.152,0,31.8,1669,184
2025-06-22,0.179,772,31.3,1722,206
2025-06-29,0.216,795,31.0,1270,224
2025-07-06,0.173,499,30.8,1329,180
2025-07-13,0.192,334,29.8,1489,183
2025-07-20,0.189,517,33.0,1505,220
2025-07-27,0.488,919,29.4,1579,205
2025-08-03,0.447,1196,34.6,1874,219
2025-08-10,0.439,845,37.3,1412,239
2025-08-17,0.539,1581,34.3,1244,207
2025-08-24,0.525,1346,35.4,1154,190
2025-08-31,0.406,1195,34.9,1242,169
2025-09-07,0.665,1380,35.1,1356,199
2025-09-14,0.755,0,34.8,1775,193
2025-09-21,0.718,2375,37.6,1278,216
2025-09-28,0.729,2194,44.7,1437,187
2025-10-05,0.635,1866,47.1,1386,219
2025-10-12,0.699,1943,49.7,1877,209
2025-10-19,0.621,1770,49.4,2414,236
2025-10-26,0.725,2055,46.7,1675,279
2025-11-02,0.638,0,43.6,1803,220
2025-11-09,0.738,2060,47.7,2369,255
2025-11-16,0.734,2009,46.7,2419,283
2025-11-23,0.728,1680,49.4,3039,287
2025-11-30,0.76,2102,50.0,2789,343
2025-12-07,0.818,2308,52.0,2422,315
2025-12-14,0.793,1850,54.5,2896,281
2025-12-21,0.794,2310,56.2,3086,319
2025-12-28,0.603,1851,53.5,2990,336
2026-01-04,0.461,0,51.8,2820,328
2026-01-11,0.556,1773,49.8,2954,322
2026-01-18,0.514,0,48.9,2907,326
2026-01-25,0.599,1148,50.8,3007,329
2026-02-01,0.601,1472,50.9,2701,329
2026-02-08,0.641,1514,52.6,2357,306
2026-02-15,0.624,1566,50.5,2381,258
2026-02-22,0.497,988,51.7,2557,289
2026-03-01,0.288,580,47.7,1776,298
2026-03-08,0.228,0,43.3,1946,242
2026-03-15,0.242,597,44.9,1622,216
2026-03-22,0.296,691,42.8,1544,240
2026-03-29,0.278,0,39.0,1693,212
2026-04-05,0.273,341,36.0,1330,236
2026-04-12,0.225,461,38.4,1283,186
2026-04-19,0.392,0,36.5,1033,198
2026-04-26,0.314,740,42.0,1494,162
2026-05-03,0.277,455,35.8,1512,203
2026-05-10,0.238,615,39.6,1789,230
2026-05-17,0.253,39,38.0,1309,231
2026-05-24,0.225,61,36.4,1351,196
2026-05-31,0.275,562,35.6,1433,206
2026-06-07,0.187,515,35.1,1653,209
2026-06-14,0.144,40,32.9,1335,223
2026-06-21,0.203,490,35.0,1432,200
2026-06-28,0.168,283,33.7,1509,228
2026-07-05,0.199,682,33.0,1427,210
2026-07-12,0.176,795,31.5,1320,206
2026-07-19,0.283,702,31.9,1431,206
2026-07-26,0.102,0,30.4,1632,215
2026-08-02,0.213,238,26.3,1196,232
2026-08-09,0.064,112,23.3,1459,192
2026-08-16,0.102,0,25.8,1277,195
2026-08-23,0.088,0,26.1,1703,208
2026-08-30,0.0,136,25.1,1151,214
2026-09-06,0.395,818,29.2,1398,185
2026-09-13,0.415,1054,32.8,1582,194
2026-09-20,0.426,804,32.9,1846,215
2026-09-27,0.502,1823,34.6,1491,240
2026-10-04,0.368,1114,36.4,1337,212
2026-10-11,0.417,451,34.4,2078,201
2026-10-18,0.419,819,36.6,1426,272
2026-10-25,0.354,1053,33.6,1332,208
